filepath,object_raw,object_normalized,date_token
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.095.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.096.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.097.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.098.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.099.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.100.fits.gz,FOCUS04,FOCUS04,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.101.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.102.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.103.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.104.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.105.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan21_11/20110122.106.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.000.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.001.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.002.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.003.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.004.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.005.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.006.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.007.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.008.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.009.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.010.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.011.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.012.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.013.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.014.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.015.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.016.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.017.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.018.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.019.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.020.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.021.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.022.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.023.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.024.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.025.fits.gz,FOCUS04,FOCUS04,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.026.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.027.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.028.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.029.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.030.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.031.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.032.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.033.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.034.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.035.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.036.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.037.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.038.fits.gz,FOCUS04,FOCUS04,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.039.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.040.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.041.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.042.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.043.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.044.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.045.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.046.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.047.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.048.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.049.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.050.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.051.fits.gz,FOCUS04,FOCUS04,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.052.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.053.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.054.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.055.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.056.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.057.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.058.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.059.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.060.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.061.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.062.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.063.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.064.fits.gz,FOCUS04,FOCUS04,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.065.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.066.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.067.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.068.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.069.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.070.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.071.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.072.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.073.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.074.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.075.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.076.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.077.fits.gz,FOCUS04,FOCUS04,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.078.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.079.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.080.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.081.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.082.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.083.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.084.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.085.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.086.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.087.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.088.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan22_11/20110123.089.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.000.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.001.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.002.fits,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.002.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.003.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.004.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.005.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.006.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.007.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.008.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.009.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.010.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.011.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.012.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.013.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.014.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.015.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.016.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.017.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.018.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.019.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.020.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.021.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.022.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.023.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.024.fits.gz,Bias,BIAS,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.025.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.027.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.028.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.029.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.030.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.031.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.032.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.033.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.034.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.035.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.036.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.037.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.038.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.039.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.040.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.041.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.042.fits.gz,flat,FLAT,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.043.fits.gz,FOCUS04,FOCUS04,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.044.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.045.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.046.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.047.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.048.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.049.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.050.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.051.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.052.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.053.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.054.fits.gz,HII 2927,HII 2927,
