filepath,object_raw,object_normalized,date_token
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.299.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.300.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.301.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.302.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.310.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.311.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.317.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.318.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.319.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.320.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.321.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.322.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.323.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.330.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.331.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.354.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.355.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.356.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.357.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.358.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.376.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.377.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.378.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.379.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.381.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.382.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.383.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.384.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.385.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.394.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.395.fits,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.396.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.397.fits,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.410.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.411.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.412.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.413.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.414.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.449.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.450.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.451.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.452.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.453.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.490.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.491.fits,Twilight flat,TWILIGHT FLAT,
